cod;nome;ano;valor;;
52;GO;2006;1364;;
51;MT;2006;825;;
50;MS;2006;627;;
43;RS;2006;1821;;
42;SC;2006;574;;
41;PR;2006;2839;;
35;SP;2006;7582;;
33;RJ;2006;6858;;
32;ES;2006;1578;;
31;MG;2006;3783;;
29;BA;2006;3065;;
28;SE;2006;545;;
27;AL;2006;1514;;
26;PE;2006;4162;;
25;PB;2006;762;;
24;RN;2006;413;;
23;CE;2006;1658;;
22;PI;2006;386;;
21;MA;2006;902;;
17;TO;2006;207;;
16;AP;2006;189;;
15;PA;2006;1930;;
14;RR;2006;96;;
13;AM;2006;646;;
12;AC;2006;143;;
53;DF;2006;611;;
53;DF;2007;656;;
53;DF;2007;656;;
52;GO;2007;1382;;
51;MT;2007;794;;
50;MS;2007;641;;
43;RS;2007;2003;;
42;SC;2007;560;;
41;PR;2007;2860;;
35;SP;2007;5834;;
33;RJ;2007;6121;;
32;ES;2007;1691;;
31;MG;2007;3722;;
29;BA;2007;3408;;
28;SE;2007;488;;
27;AL;2007;1727;;
26;PE;2007;4262;;
25;PB;2007;793;;
24;RN;2007;547;;
23;CE;2007;1806;;
22;PI;2007;346;;
21;MA;2007;1063;;
17;TO;2007;196;;
16;AP;2007;160;;
15;PA;2007;2049;;
14;RR;2007;97;;
13;AM;2007;663;;
12;AC;2007;119;;
11;RO;2007;404;;
11;RO;2007;404;;
12;AC;2007;119;;
13;AM;2007;663;;
14;RR;2007;97;;
15;PA;2007;2049;;
16;AP;2007;160;;
17;TO;2007;196;;
21;MA;2007;1063;;
22;PI;2007;346;;
23;CE;2007;1806;;
24;RN;2007;547;;
25;PB;2007;793;;
26;PE;2007;4262;;
27;AL;2007;1727;;
28;SE;2007;488;;
29;BA;2007;3408;;
31;MG;2007;3722;;
32;ES;2007;1691;;
33;RJ;2007;6121;;
35;SP;2007;5834;;
41;PR;2007;2860;;
42;SC;2007;560;;
43;RS;2007;2003;;
50;MS;2007;641;;
51;MT;2007;794;;
52;GO;2007;1382;;
12;AC;2008;120;;
13;AM;2008;767;;
14;RR;2008;90;;
15;PA;2008;2687;;
16;AP;2008;196;;
17;TO;2008;216;;
21;MA;2008;1196;;
22;PI;2008;323;;
23;CE;2008;1902;;
24;RN;2008;655;;
25;PB;2008;942;;
26;PE;2008;4140;;
27;AL;2008;1804;;
28;SE;2008;525;;
29;BA;2008;4485;;
31;MG;2008;3511;;
32;ES;2008;1756;;
33;RJ;2008;5274;;
35;SP;2008;5660;;
41;PR;2008;3132;;
42;SC;2008;715;;
43;RS;2008;2161;;
50;MS;2008;639;;
51;MT;2008;851;;
52;GO;2008;1629;;
53;DF;2008;748;;
11;RO;2008;440;;
11;RO;2008;440;;
53;DF;2008;748;;
52;GO;2008;1629;;
51;MT;2008;851;;
50;MS;2008;639;;
43;RS;2008;2161;;
42;SC;2008;715;;
41;PR;2008;3132;;
35;SP;2008;5660;;
33;RJ;2008;5274;;
32;ES;2008;1756;;
31;MG;2008;3511;;
29;BA;2008;4485;;
28;SE;2008;525;;
27;AL;2008;1804;;
26;PE;2008;4140;;
25;PB;2008;942;;
24;RN;2008;655;;
23;CE;2008;1902;;
22;PI;2008;323;;
21;MA;2008;1196;;
17;TO;2008;216;;
16;AP;2008;196;;
15;PA;2008;2687;;
14;RR;2008;90;;
13;AM;2008;767;;
12;AC;2008;120;;
53;DF;2009;806;;
52;GO;2009;1733;;
51;MT;2009;905;;
50;MS;2009;660;;
43;RS;2009;2017;;
42;SC;2009;726;;
41;PR;2009;3361;;
35;SP;2009;5882;;
33;RJ;2009;5000;;
32;ES;2009;1769;;
31;MG;2009;3340;;
29;BA;2009;5078;;
28;SE;2009;617;;
27;AL;2009;1762;;
26;PE;2009;3656;;
25;PB;2009;1164;;
24;RN;2009;743;;
23;CE;2009;2025;;
22;PI;2009;354;;
21;MA;2009;1311;;
17;TO;2009;258;;
16;AP;2009;178;;
15;PA;2009;2802;;
14;RR;2009;94;;
13;AM;2009;849;;
12;AC;2009;137;;
11;RO;2009;486;;
53;DF;2009;806;;
52;GO;2009;1733;;
51;MT;2009;905;;
50;MS;2009;660;;
43;RS;2009;2017;;
42;SC;2009;726;;
41;PR;2009;3361;;
35;SP;2009;5882;;
33;RJ;2009;5000;;
32;ES;2009;1769;;
31;MG;2009;3340;;
29;BA;2009;5078;;
28;SE;2009;617;;
27;AL;2009;1762;;
26;PE;2009;3656;;
25;PB;2009;1164;;
24;RN;2009;743;;
23;CE;2009;2025;;
